time,reference_position,reference_position_filtered,current_position,position_error,reference_velocity,current_velocity,feed_forward_velocity,velocity_error,integral_action,proportional_action,control_torque,
0.210169,0,0,0,0,0,0,0,0,8,0,8,
0.212164,0,0,0,0,0,0,0,0,8,0,8,
0.214114,0,0,0,0,0,0,0,0,8,0,8,
0.216314,0,0,0,0,0,0,0,0,8,0,8,
0.218126,0,0,0,0,0,0,0,0,8,0,8,
0.220212,0,0,0,0,0,0,0,0,8,0,8,
0.222142,0,0,0,0,0,0,0,0,8,0,8,
0.224129,0,0,0,0,0,0,0,0,8,0,8,
0.226271,0,0,0,0,0,0,0,0,8,0,8,
0.228155,0,0,0,0,0,0,0,0,8,0,8,
0.230136,0,0,0,0,0,0,0,0,8,0,8,
0.232244,0,0,0,0,0,0,0,0,8,0,8,
0.234126,0,0,0,0,0,0,0,0,8,0,8,
0.236134,0,0,0,0,0,0,0,0,8,0,8,
0.238106,0,0,0,0,0,0,0,0,8,0,8,
0.240151,0,0,0,0,0,0,0,0,8,0,8,
0.242172,0,0,0,0,0,0,0,0,8,0,8,
0.244202,0,0,0,0,0,0,0,0,8,0,8,
0.24619,0,0,0,0,0,0,0,0,8,0,8,
0.248462,0,0,0,0,0,0,0,0,8,0,8,
0.250142,0,0,0,0,0,0,0,0,8,0,8,
0.252164,0,0,0,0,0,0,0,0,8,0,8,
0.254168,0,0,0,0,0,0,0,0,8,0,8,
0.256127,0,0,0,0,0,0,0,0,8,0,8,
0.258153,0,0,0,0,0,0,0,0,8,0,8,
0.260186,0,0,0,0,0,0,0,0,8,0,8,
0.262159,0,0,0,0,0,0,0,0,8,0,8,
0.264223,0,0,0,0,0,0,0,0,8,0,8,
0.266157,0,0,0,0,0,0,0,0,8,0,8,
0.268111,0,0,0,0,0,0,0,0,8,0,8,
0.270171,0,0,0,0,0,0,0,0,8,0,8,
0.272373,0,0,0,0,0,0,0,0,8,0,8,
0.27414,0,0,0,0,0,0,0,0,8,0,8,
0.276161,0,0,0,0,0,0,0,0,8,0,8,
0.278194,0,0,0,0,0,0,0,0,8,0,8,
0.280143,0,0,0,0,0,0,0,0,8,0,8,
0.282139,0,0,0,0,0,0,0,0,8,0,8,
0.284153,0,0,0,0,0,0,0,0,8,0,8,
0.286288,0,0,0,0,0,0,0,0,8,0,8,
0.28822,0,0,0,0,0,0,0,0,8,0,8,
0.290199,0,0,0,0,0,0,0,0,8,0,8,
0.292209,0,0,0,0,0,0,0,0,8,0,8,
0.29423,0,0,0,0,0,0,0,0,8,0,8,
0.296234,0,0,0,0,0,0,0,0,8,0,8,
0.298221,0,0,0,0,0,0,0,0,8,0,8,
0.300204,0,0,0,0,0,0,0,0,8,0,8,
0.302493,0,0,0,0,0,0,0,0,8,0,8,
0.304173,0,0,0,0,0,0,0,0,8,0,8,
0.306375,0,0,0,0,0,0,0,0,8,0,8,
0.31021,0,0,0,0,0,0,0,0,8,0,8,
0.312156,0,0,0,0,0,0,0,0,8,0,8,
0.314146,0,0,0,0,0,0,0,0,8,0,8,
0.316138,0,0,0,0,0,0,0,0,8,0,8,
0.318148,0,0,0,0,0,0,0,0,8,0,8,
0.320176,0,0,0,0,0,0,0,0,8,0,8,
0.322157,0,0,0,0,0,0,0,0,8,0,8,
0.327199,0,0,0,0,0,0,0,0,8,0,8,
0.32812,0,0,0,0,0,0,0,0,8,0,8,
0.330144,0,0,0,0,0,0,0,0,8,0,8,
0.332129,0,0,0,0,0,0,0,0,8,0,8,
0.334147,0,0,0,0,0,0,0,0,8,0,8,
0.339181,0,0,0,0,0,0,0,0,8,0,8,
0.340116,0,0,0,0,0,0,0,0,8,0,8,
0.342117,0,0,0,0,0,0,0,0,8,0,8,
0.344229,0,0,0,0,0,0,0,0,8,0,8,
0.346125,0,0,0,0,0,0,0,0,8,0,8,
0.348115,0,0,0,0,0,0,0,0,8,0,8,
0.350113,0,0,0,0,0,0,0,0,8,0,8,
0.352168,0,0,0,0,0,0,0,0,8,0,8,
0.354126,0,0,0,0,0,0,0,0,8,0,8,
0.356112,0,0,0,0,0,0,0,0,8,0,8,
0.358103,0,0,0,0,0,0,0,0,8,0,8,
0.360109,0,0,0,0,0,0,0,0,8,0,8,
0.362118,0,0,0,0,0,0,0,0,8,0,8,
0.364102,0,0,0,0,0,0,0,0,8,0,8,
0.366113,0,0,0,0,0,0,0,0,8,0,8,
0.368119,0,0,0,0,0,0,0,0,8,0,8,
0.370108,0,0,0,0,0,0,0,0,8,0,8,
0.372293,0,0,0,0,0,0,0,0,8,0,8,
0.374137,0,0,0,0,0,0,0,0,8,0,8,
0.376112,0,0,0,0,0,0,0,0,8,0,8,
0.378106,0,0,0,0,0,0,0,0,8,0,8,
0.380121,0,0,0,0,0,0,0,0,8,0,8,
0.383076,0,0,0,0,0,0,0,0,8,0,8,
0.384098,0,0,0,0,0,0,0,0,8,0,8,
0.386109,0,0,0,0,0,0,0,0,8,0,8,
0.388139,0,0,0,0,0,0,0,0,8,0,8,
0.390153,0,0,0,0,0,0,0,0,8,0,8,
0.39212,0,0,0,0,0,0,0,0,8,0,8,
0.394136,0,0,0,0,0,0,0,0,8,0,8,
0.396075,0,0,0,0,0,0,0,0,8,0,8,
0.398149,0,0,0,0,0,0,0,0,8,0,8,
0.400134,0,0,0,0,0,0,0,0,8,0,8,
0.40214,0,0,0,0,0,0,0,0,8,0,8,
0.404144,0,0,0,0,0,0,0,0,8,0,8,
0.406204,0,0,0,0,0,0,0,0,8,0,8,
0.408159,0,0,0,0,0,0,0,0,8,0,8,
0.410059,0,0,0,0,0,0,0,0,8,0,8,
0.412068,0,0,0,0,0,0,0,0,8,0,8,
0.414254,0,0,0,0,0,0,0,0,8,0,8,
0.416198,0,0,0,0,0,0,0,0,8,0,8,
0.41814,0,0,0,0,0,0,0,0,8,0,8,
0.420118,0,0,0,0,0,0,0,0,8,0,8,
0.422126,0,0,0,0,0,0,0,0,8,0,8,
0.424158,0,0,0,0,0,0,0,0,8,0,8,
0.426147,0,0,0,0,0,0,0,0,8,0,8,
0.428173,0,0,0,0,0,0,0,0,8,0,8,
0.430201,0,0,0,0,0,0,0,0,8,0,8,
0.432281,0,0,0,0,0,0,0,0,8,0,8,
0.434256,0,0,0,0,0,0,0,0,8,0,8,
0.43611,0,0,0,0,0,0,0,0,8,0,8,
0.438257,0,0,0,0,0,0,0,0,8,0,8,
0.440297,0,0,0,0,0,0,0,0,8,0,8,
0.442122,0,0,0,0,0,0,0,0,8,0,8,
0.444133,0,0,0,0,0,0,0,0,8,0,8,
0.446171,0,0,0,0,0,0,0,0,8,0,8,
0.448117,0,0,0,0,0,0,0,0,8,0,8,
0.450138,0,0,0,0,0,0,0,0,8,0,8,
0.452117,0,0,0,0,0,0,0,0,8,0,8,
0.454124,0,0,0,0,0,0,0,0,8,0,8,
0.45618,0,0,0,0,0,0,0,0,8,0,8,
0.458182,0,0,0,0,0,0,0,0,8,0,8,
0.461945,0,0,0,0,0,0,0,0,8,0,8,
0.462017,0,0,0,0,0,0,0,0,8,0,8,
0.464068,0,0,0,0,0,0,0,0,8,0,8,
0.466064,0,0,0,0,0,0,0,0,8,0,8,
0.46807,0,0,0,0,0,0,0,0,8,0,8,
0.47008,0,0,0,0,0,0,0,0,8,0,8,
0.472074,0,0,0,0,0,0,0,0,8,0,8,
0.474707,0,0,0,0,0,0,0,0,8,0,8,
0.476377,0,0,0,0,0,0,0,0,8,0,8,
0.478475,0,0,0,0,0,0,0,0,8,0,8,
0.480448,0,0,0,0,0,0,0,0,8,0,8,
0.484163,0,0,0,0,0,0,0,0,8,0,8,
0.486068,0,0,0,0,0,0,0,0,8,0,8,
0.488061,0,0,0,0,0,0,0,0,8,0,8,
0.490073,0,0,0,0,0,0,0,0,8,0,8,
0.492104,0,0,0,0,0,0,0,0,8,0,8,
0.496169,0,0,0,0,0,0,0,0,8,0,8,
0.49807,0,0,0,0,0,0,0,0,8,0,8,
0.500062,0,0,0,0,0,0,0,0,8,0,8,
0.502066,0,0,0,0,0,0,0,0,8,0,8,
0.504062,0,0,0,0,0,0,0,0,8,0,8,
0.506114,0,0,0,0,0,0,0,0,8,0,8,
0.508145,0,0,0,0,0,0,0,0,8,0,8,
0.510242,0,0,0,0,0,0,0,0,8,0,8,
0.512386,0,0,0,0,0,0,0,0,8,0,8,
0.514451,0,0,0,0,0,0,0,0,8,0,8,
0.519167,0,0,0,0,0,0,0,0,8,0,8,
0.520068,0,0,0,0,0,0,0,0,8,0,8,
0.522063,0,0,0,0,0,0,0,0,8,0,8,
0.524064,0,0,0,0,0,0,0,0,8,0,8,
0.526072,0,0,0,0,0,0,0,0,8,0,8,
0.528111,0,0,0,0,0,0,0,0,8,0,8,
0.530065,0,0,0,0,0,0,0,0,8,0,8,
0.532126,0,0,0,0,0,0,0,0,8,0,8,
0.534066,0,0,0,0,0,0,0,0,8,0,8,
0.53611,0,0,0,0,0,0,0,0,8,0,8,
0.541253,0,0,0,0,0,0,0,0,8,0,8,
0.542075,0,0,0,0,0,0,0,0,8,0,8,
0.544062,0,0,0,0,0,0,0,0,8,0,8,
0.546064,0,0,0,0,0,0,0,0,8,0,8,
0.548097,0,0,0,0,0,0,0,0,8,0,8,
0.550112,0,0,0,0,0,0,0,0,8,0,8,
0.552069,0,0,0,0,0,0,0,0,8,0,8,
0.554115,0,0,0,0,0,0,0,0,8,0,8,
0.556065,0,0,0,0,0,0,0,0,8,0,8,
0.558311,0,0,0,0,0,0,0,0,8,0,8,
0.563165,0,0,0,0,0,0,0,0,8,0,8,
0.56407,0,0,0,0,0,0,0,0,8,0,8,
0.566066,0,0,0,0,0,0,0,0,8,0,8,
0.568098,0,0,0,0,0,0,0,0,8,0,8,
0.570115,0,0,0,0,0,0,0,0,8,0,8,
0.572126,0,0,0,0,0,0,0,0,8,0,8,
0.574209,0,0,0,0,0,0,0,0,8,0,8,
0.57614,0,0,0,0,0,0,0,0,8,0,8,
0.578136,0,0,0,0,0,0,0,0,8,0,8,
0.580135,0,0,0,0,0,0,0,0,8,0,8,
0.582155,0,0,0,0,0,0,0,0,8,0,8,
0.584159,0,0,0,0,0,0,0,0,8,0,8,
0.586158,0,0,0,0,0,0,0,0,8,0,8,
0.588125,0,0,0,0,0,0,0,0,8,0,8,
0.590159,0,0,0,0,0,0,0,0,8,0,8,
0.592131,0,0,0,0,0,0,0,0,8,0,8,
0.594162,0,0,0,0,0,0,0,0,8,0,8,
0.596164,0,0,0,0,0,0,0,0,8,0,8,
0.598163,0,0,0,0,0,0,0,0,8,0,8,
0.600164,0,0,0,0,0,0,0,0,8,0,8,
0.602154,0,0,0,0,0,0,0,0,8,0,8,
0.60416,0,0,0,0,0,0,0,0,8,0,8,
0.606158,0,0,0,0,0,0,0,0,8,0,8,
0.608128,0,0,0,0,0,0,0,0,8,0,8,
0.610166,0,0,0,0,0,0,0,0,8,0,8,
0.612146,0,0,0,0,0,0,0,0,8,0,8,
0.614195,0,0,0,0,0,0,0,0,8,0,8,
0.616184,0,0,0,0,0,0,0,0,8,0,8,
0.618155,0,0,0,0,0,0,0,0,8,0,8,
0.620131,0,0,0,0,0,0,0,0,8,0,8,
0.622131,0,0,0,0,0,0,0,0,8,0,8,
0.62414,0,0,0,0,0,0,0,0,8,0,8,
0.626124,0,0,0,0,0,0,0,0,8,0,8,
0.628141,0,0,0,0,0,0,0,0,8,0,8,
0.630174,0,0,0,0,0,0,0,0,8,0,8,
0.632111,0,0,0,0,0,0,0,0,8,0,8,
0.634127,0,0,0,0,0,0,0,0,8,0,8,
0.636183,0,0,0,0,0,0,0,0,8,0,8,
0.638153,0,0,0,0,0,0,0,0,8,0,8,
0.640174,0,0,0,0,0,0,0,0,8,0,8,
0.642157,0,0,0,0,0,0,0,0,8,0,8,
0.644149,0,0,0,0,0,0,0,0,8,0,8,
0.646134,0,0,0,0,0,0,0,0,8,0,8,
0.648154,0,0,0,0,0,0,0,0,8,0,8,
0.650126,0,0,0,0,0,0,0,0,8,0,8,
0.652406,0,0,0,0,0,0,0,0,8,0,8,
0.654126,0,0,0,0,0,0,0,0,8,0,8,
0.656184,0,0,0,0,0,0,0,0,8,0,8,
0.658134,0,0,0,0,0,0,0,0,8,0,8,
0.6601,0,0,0,0,0,0,0,0,8,0,8,
0.662141,0,0,0,0,0,0,0,0,8,0,8,
0.664126,0,0,0,0,0,0,0,0,8,0,8,
0.666116,0,0,0,0,0,0,0,0,8,0,8,
0.668098,0,0,0,0,0,0,0,0,8,0,8,
0.670097,0,0,0,0,0,0,0,0,8,0,8,
0.672071,0,0,0,0,0,0,0,0,8,0,8,
0.674067,0,0,0,0,0,0,0,0,8,0,8,
0.67607,0,0,0,0,0,0,0,0,8,0,8,
0.678127,0,0,0,0,0,0,0,0,8,0,8,
0.680096,0,0,0,0,0,0,0,0,8,0,8,
0.682062,0,0,0,0,0,0,0,0,8,0,8,
0.68406,0,0,0,0,0,0,0,0,8,0,8,
0.686096,0,0,0,0,0,0,0,0,8,0,8,
0.688112,0,0,0,0,0,0,0,0,8,0,8,
0.690104,0,0,0,0,0,0,0,0,8,0,8,
0.69213,0,0,0,0,0,0,0,0,8,0,8,
0.694122,0,0,0,0,0,0,0,0,8,0,8,
0.696099,0,0,0,0,0,0,0,0,8,0,8,
0.698097,0,0,0,0,0,0,0,0,8,0,8,
0.700148,0,0,0,0,0,0,0,0,8,0,8,
0.702218,0,0,0,0,0,0,0,0,8,0,8,
0.704215,0,0,0,0,0,0,0,0,8,0,8,
0.706156,0,0,0,0,0,0,0,0,8,0,8,
0.708177,0,0,0,0,0,0,0,0,8,0,8,
0.710205,0,0,0,0,0,0,0,0,8,0,8,
0.712138,0,0,0,0,0,0,0,0,8,0,8,
0.714146,0,0,0,0,0,0,0,0,8,0,8,
0.716201,0,0,0,0,0,0,0,0,8,0,8,
0.718182,0,0,0,0,0,0,0,0,8,0,8,
0.720186,0,0,0,0,0,0,0,0,8,0,8,
0.722143,0,0,0,0,0,0,0,0,8,0,8,
0.724125,0,0,0,0,0,0,0,0,8,0,8,
0.726074,0,0,0,0,0,0,0,0,8,0,8,
0.728189,0,0,0,0,0,0,0,0,8,0,8,
0.730104,0,0,0,0,0,0,0,0,8,0,8,
0.732112,0,0,0,0,0,0,0,0,8,0,8,
0.73413,0,0,0,0,0,0,0,0,8,0,8,
0.73618,0,0,0,0,0,0,0,0,8,0,8,
0.738128,0,0,0,0,0,0,0,0,8,0,8,
0.740121,0,0,0,0,0,0,0,0,8,0,8,
0.74226,0,0,0,0,0,0,0,0,8,0,8,
0.744151,0,0,0,0,0,0,0,0,8,0,8,
0.746098,0,0,0,0,0,0,0,0,8,0,8,
0.748068,0,0,0,0,0,0,0,0,8,0,8,
0.750116,0,0,0,0,0,0,0,0,8,0,8,
0.752099,0,0,0,0,0,0,0,0,8,0,8,
0.754111,0,0,0,0,0,0,0,0,8,0,8,
0.756098,0,0,0,0,0,0,0,0,8,0,8,
0.758127,0,0,0,0,0,0,0,0,8,0,8,
0.7601,0,0,0,0,0,0,0,0,8,0,8,
0.76212,0,0,0,0,0,0,0,0,8,0,8,
0.764179,0,0,0,0,0,0,0,0,8,0,8,
0.766117,0,0,0,0,0,0,0,0,8,0,8,
0.768127,0,0,0,0,0,0,0,0,8,0,8,
0.770116,0,0,0,0,0,0,0,0,8,0,8,
0.772122,0,0,0,0,0,0,0,0,8,0,8,
0.774115,0,0,0,0,0,0,0,0,8,0,8,
0.776142,0,0,0,0,0,0,0,0,8,0,8,
0.778132,0,0,0,0,0,0,0,0,8,0,8,
0.780125,0,0,0,0,0,0,0,0,8,0,8,
0.782181,0,0,0,0,0,0,0,0,8,0,8,
0.784193,0,0,0,0,0,0,0,0,8,0,8,
0.786171,0,0,0,0,0,0,0,0,8,0,8,
0.788294,0,0,0,0,0,0,0,0,8,0,8,
0.79016,0,0,0,0,0,0,0,0,8,0,8,
0.792176,0,0,0,0,0,0,0,0,8,0,8,
0.794152,0,0,0,0,0,0,0,0,8,0,8,
0.79614,0,0,0,0,0,0,0,0,8,0,8,
0.79842,0,0,0,0,0,0,0,0,8,0,8,
0.800128,0,0,0,0,0,0,0,0,8,0,8,
0.80215,0,0,0,0,0,0,0,0,8,0,8,
0.804192,0,0,0,0,0,0,0,0,8,0,8,
0.806128,0,0,0,0,0,0,0,0,8,0,8,
0.808304,0,0,0,0,0,0,0,0,8,0,8,
0.810136,0,0,0,0,0,0,0,0,8,0,8,
0.812151,0,0,0,0,0,0,0,0,8,0,8,
0.814139,0,0,0,0,0,0,0,0,8,0,8,
0.816149,0,0,0,0,0,0,0,0,8,0,8,
0.818169,0,0,0,0,0,0,0,0,8,0,8,
0.820149,0,0,0,0,0,0,0,0,8,0,8,
0.822181,0,0,0,0,0,0,0,0,8,0,8,
0.824145,0,0,0,0,0,0,0,0,8,0,8,
0.82627,0,0,0,0,0,0,0,0,8,0,8,
0.828148,0,0,0,0,0,0,0,0,8,0,8,
0.830142,0,0,0,0,0,0,0,0,8,0,8,
0.832232,0,0,0,0,0,0,0,0,8,0,8,
0.834139,0,0,0,0,0,0,0,0,8,0,8,
0.836105,0,0,0,0,0,0,0,0,8,0,8,
0.838122,0,0,0,0,0,0,0,0,8,0,8,
0.840102,0,0,0,0,0,0,0,0,8,0,8,
0.842079,0,0,0,0,0,0,0,0,8,0,8,
0.84421,0,0,0,0,0,0,0,0,8,0,8,
0.846136,0,0,0,0,0,0,0,0,8,0,8,
0.848105,0,0,0,0,0,0,0,0,8,0,8,
0.850108,0,0,0,0,0,0,0,0,8,0,8,
0.852097,0,0,0,0,0,0,0,0,8,0,8,
0.854108,0,0,0,0,0,0,0,0,8,0,8,
0.856102,0,0,0,0,0,0,0,0,8,0,8,
0.858109,0,0,0,0,0,0,0,0,8,0,8,
0.860103,0,0,0,0,0,0,0,0,8,0,8,
0.86208,0,0,0,0,0,0,0,0,8,0,8,
0.864081,0,0,0,0,0,0,0,0,8,0,8,
0.866194,0,0,0,0,0,0,0,0,8,0,8,
0.868199,0,0,0,0,0,0,0,0,8,0,8,
0.870118,0,0,0,0,0,0,0,0,8,0,8,
0.872093,0,0,0,0,0,0,0,0,8,0,8,
0.874257,0,0,0,0,0,0,0,0,8,0,8,
0.876095,0,0,0,0,0,0,0,0,8,0,8,
0.878102,0,0,0,0,0,0,0,0,8,0,8,
0.880075,0,0,0,0,0,0,0,0,8,0,8,
0.882077,0,0,0,0,0,0,0,0,8,0,8,
0.884075,0,0,0,0,0,0,0,0,8,0,8,
0.886107,0,0,0,0,0,0,0,0,8,0,8,
0.888074,0,0,0,0,0,0,0,0,8,0,8,
0.890069,0,0,0,0,0,0,0,0,8,0,8,
0.892077,0,0,0,0,0,0,0,0,8,0,8,
0.894067,0,0,0,0,0,0,0,0,8,0,8,
0.896047,0,0,0,0,0,0,0,0,8,0,8,
0.898112,0,0,0,0,0,0,0,0,8,0,8,
0.900112,0,0,0,0,0,0,0,0,8,0,8,
0.902112,0,0,0,0,0,0,0,0,8,0,8,
0.904097,0,0,0,0,0,0,0,0,8,0,8,
0.906076,0,0,0,0,0,0,0,0,8,0,8,
0.908075,0,0,0,0,0,0,0,0,8,0,8,
0.910102,0,0,0,0,0,0,0,0,8,0,8,
0.91208,0,0,0,0,0,0,0,0,8,0,8,
0.9141,0,0,0,0,0,0,0,0,8,0,8,
0.916075,0,0,0,0,0,0,0,0,8,0,8,
0.918108,0,0,0,0,0,0,0,0,8,0,8,
0.920201,0,0,0,0,0,0,0,0,8,0,8,
0.922289,0,0,0,0,0,0,0,0,8,0,8,
0.924197,0,0,0,0,0,0,0,0,8,0,8,
0.926145,0,0,0,0,0,0,0,0,8,0,8,
0.928379,0,0,0,0,0,0,0,0,8,0,8,
0.930189,0,0,0,0,0,0,0,0,8,0,8,
0.932252,0,0,0,0,0,0,0,0,8,0,8,
0.934282,0,0,0,0,0,0,0,0,8,0,8,
0.936231,0,0,0,0,0,0,0,0,8,0,8,
0.938236,0,0,0,0,0,0,0,0,8,0,8,
0.940111,0,0,0,0,0,0,0,0,8,0,8,
0.94214,0,0,0,0,0,0,0,0,8,0,8,
0.944278,0,0,0,0,0,0,0,0,8,0,8,
0.946149,0,0,0,0,0,0,0,0,8,0,8,
